1   10402
2   4920
3   5021
4   5142
5   5228
6   5339
7   5425
8   5543
9   5629
10   5747
11   5833
12   5944
13   6030
14   6040
15   6251
16   6254
17   6339
18   6434
19   6445
20   6524
21   6645
22   6730
23   6849
24   7011
25   7110
26   7358
27   7444
28   7562
29   7648
30   7753
31   7752
32   7955
33   8066
34   8158
35   8270
36   8257
37   8365
38   8467
39   8557
40   8661
41   8759
42   8860
43   8961
44   9058
45   9167
46   9276
47   9367
48   9470
49   9572
50   9772
51   9772
52   9772
53   9664
54   9670
55   9769
56   9877
57   9968
58   10077
59   10170
60   10280
61   10391
62   10627
63   10572
64   10767
1   4935
2   5020
3   5130
4   5241
5   5321
6   5438
7   5532
8   5649
9   5729
10   5846
11   5933
12   6050
13   6130
14   6145
15   6339
16   6349
17   6440
18   6531
19   6550
20   6631
21   6740
22   6817
23   6933
24   7020
25   7214
26   7457
27   7544
28   7661
29   7798
30   7847
31   7861
32   8053
33   8157
34   8250
35   8351
36   8351
37   8463
38   8558
39   8667
40   8760
41   8864
42   8965
43   9064
44   9170
45   9272
46   9367
47   9456
48   9563
49   9775
50   9758
51   9775
52   9768
53   9669
54   9765
55   9874
56   9976
57   10072
58   10172
59   10278
60   10380
61   10472
62   10584
63   10910
64   10880
1   4928
2   5028
3   5137
4   5241
5   5334
6   5438
7   5538
8   5642
9   5742
10   5846
11   5939
12   6043
13   6143
14   6145
15   6332
16   6350
17   6451
18   6539
19   6535
20   6644
21   6725
22   6824
23   6933
24   7010
25   7209
26   7457
27   7557
28   7661
29   7836
30   7848
31   7848
32   8055
33   8153
34   8251
35   8351
36   8354
37   8469
38   8565
39   8667
40   8769
41   8864
42   8973
43   9066
44   9170
45   9279
46   9363
47   9476
48   9570
49   9767
50   9768
51   9758
52   9768
53   9666
54   9771
55   9870
56   9972
57   10065
58   10183
59   10267
60   10373
61   10472
62   10575
63   10669
64   10764
1   4942
2   5029
3   5132
4   5241
5   5336
6   5438
7   5533
8   5649
9   5737
10   5846
11   5941
12   6050
13   6162
14   6135
15   6342
16   6339
17   6444
18   6444
19   6550
20   6637
21   6740
22   6827
23   6933
24   7024
25   7222
26   7457
27   7552
28   7661
29   7763
30   7856
31   7861
32   8047
33   8155
34   8251
35   8361
36   8359
37   8456
38   8565
39   8667
40   8758
41   8864
42   8956
43   9064
44   9159
45   9272
46   9357
47   9456
48   9571
49   9765
50   9782
51   9765
52   9768
53   9658
54   9782
55   9867
56   9979
57   10074
58   10166
59   10271
60   10370
61   10472
62   10574
63   10669
64   10781
1   4935
2   5029
3   5131
4   5241
5   5335
6   5438
7   5532
8   5642
9   5736
10   5846
11   5940
12   6043
13   6166
14   6145
15   6339
16   6349
17   6446
18   6440
19   6535
20   6630
21   6725
22   6828
23   6933
24   7028
25   7214
26   7457
27   7551
28   7661
29   7756
30   7857
31   7848
32   8055
33   8154
34   8251
35   8358
36   8360
37   8452
38   8553
39   8667
40   8769
41   8862
42   8966
43   9066
44   9166
45   9263
